adado	Adado
afgooye	Afgooye
agabar	Agabar
baardheere	Baardheere
baidoa	Baidoa
baki	Baki
balanbale	Balanbale
baligubadle	Baligubadle
bandarbeyla	Bandarbeyla
bargaal	Bargaal
beled hawo	Beled Hawo
beledweyne	Beledweyne
berbera	Berbera
bereeda	Bereeda
borama	Borama
bosaso	Bosaso
buhodle	Buhodle
burao	Burao
buulobarde	Buulobarde
buur gaabo	Buur Gaabo
buurhakaba	Buurhakaba
bu’aale	Bu’aale
cabudwaaq	Cabudwaaq
cadale	Cadale
caluula	Caluula
ceek	Ceek
ceelbuur	Ceelbuur
ceeldheer	Ceeldheer
ceerigaabo	Ceerigaabo
dhabad	Dhabad
dhamas	Dhamas
dhobley	Dhobley
dhuusamarreeb	Dhuusamarreeb
diga gaw	Diga gaw
diinsoor	Diinsoor
dujuuma	Dujuuma
el dibir	El Dibir
eyl	Eyl
gaalkacyo	Gaalkacyo
garadag	Garadag
garbahaarrey	Garbahaarrey
garoowe	Garoowe
gebiley	Gebiley
gorayacowl	Gorayacowl
hargeysa	Hargeysa
hobyo	Hobyo
iskushuban	Iskushuban
jalalaqsi	Jalalaqsi
jamaame	Jamaame
jawhar	Jawhar
jilib	Jilib
kaambooni	Kaambooni
kismayo	Kismayo
laascaanood	Laascaanood
las khorey	Las Khorey
lughaye	Lughaye
luuq	Luuq
mahaddayweyne	Mahaddayweyne
marka	Marka
mogadishu	Mogadishu
oodweyne	Oodweyne
qandala	Qandala
qoryooley	Qoryooley
ruqi	Ruqi
saacow	Saacow
saaxo	Saaxo
saylac	Saylac
tayeeglow	Tayeeglow
tog wajaale	Tog Wajaale
waajid	Waajid
wanlaweyn	Wanlaweyn
xarardheere	Xarardheere
xuddur	Xuddur
yagoori	Yagoori
yeed	Yeed
