abu az zuhur	Abū az̧ Z̧uhūr
abu qalqal	Abū Qalqal
ad daliyah	Ad Dālīyah
ad dana	Ad Dānā
ad darbasiyah	Ad Darbāsīyah
ad dimas	Ad Dīmās
ad dumayr	Aḑ Ḑumayr
ad duraykish	Ad Duraykīsh
afis	Afis
akhtarin	Akhtarīn
al atarib	Al Atārib
al bab	Al Bāb
al bahluliyah	Al Bahlūlīyah
al bariqiyah	Al Bāriqīyah
al busayrah	Al Buşayrah
al fakhurah	Al Fākhūrah
al furqlus	Al Furqlus
al ghandurah	Al Ghandūrah
al ghantu	Al Ghanţū
al ghariyah	Al Ghāriyah
al ghizlaniyah	Al Ghizlānīyah
al hadir	Al Ḩāḑir
al haffah	Al Ḩaffah
al hajar al aswad	Al Ḩajar al Aswad
al hajib	Al Ḩājib
al hamidiyah	Al Ḩamīdīyah
al hamra’	Al Ḩamrā’
al hasakah	Al Ḩasakah
al hawash	Al Ḩawāsh
al hawl	Al Ḩawl
al hinadi	Al Hinādī
al hirak	Al Ḩirāk
al jala’	Al Jalā’
al janudiyah	Al Jānūdīyah
al jarniyah	Al Jarnīyah
al jawadiyah	Al Jawādīyah
al jizah	Al Jīzah
al karamah	Al Karāmah
al karimah	Al Karīmah
al kasrah	Al Kasrah
al khafsah	Al Khafsah
al kiswah	Al Kiswah
al malikiyah	Al Mālikīyah
al mansurah	Al Manşūrah
al mayadin	Al Mayādīn
al mazra‘ah	Al Mazra‘ah
al ma‘batli	Al Ma‘baţlī
al mulayhah	Al Mulayḩah
al musayfirah	Al Musayfirah
al mushannaf	Al Mushannaf
al muzayrib	Al Muzayrīb
al muzayri‘ah	Al Muzayri‘ah
al qabw	Al Qabw
al qadmus	Al Qadmūs
al qahtaniyah	Al Qaḩţānīyah
al qamishli	Al Qāmishlī
al qamsiyah	Al Qamşīyah
al qardahah	Al Qardāḩah
al qaryatayn	Al Qaryatayn
al qunaytirah	Al Qunayţirah
al qurayya	Al Qurayyā
al qusayr	Al Quşayr
al qutayfah	Al Quţayfah
al qutaylibiyah	Al Quţaylibīyah
al ya‘rubiyah	Al Ya‘rubīyah
