abdi	Abdi
abeche	Abéché
abou deia	Abou Déïa
adre	Adré
am dam	Am Dam
am timan	Am Timan
amdjarass	Amdjarass
aozou	Aozou
ati	Ati
baibokoum	Baïbokoum
bardai	Bardaï
bebedja	Bébédja
beboto	Béboto
bediondo	Bédiondo
beinamar	Beïnamar
benoy	Benoy
bere	Béré
biltine	Biltine
bitkine	Bitkine
bodo	Bodo
bokoro	Bokoro
bol	Bol
bongor	Bongor
bousso	Bousso
deressia	Déressia
doba	Doba
dourbali	Dourbali
fada	Fada
faya-largeau	Faya-Largeau
fianga	Fianga
gore	Goré
goundi	Goundi
gounou gaya	Gounou Gaya
goz beida	Goz Béïda
goz beida	Goz Beida
guelendeng	Guelendeng
guereda	Guéréda
haraze	Haraze
iriba	Iriba
kelo	Kelo
kirdimi	Kirdimi
koumra	Koumra
krim krim	Krim Krim
kyabe	Kyabé
lai	Laï
lere	Léré
mandelia	Mandelia
mangalme	Mangalmé
mao	Mao
maro	Maro
massaguet	Massaguet
massakory	Massakory
massenya	Massenya
mboursou lere	Mboursou Léré
melfi	Melfi
moissala	Moïssala
mondo	Mondo
mongo	Mongo
moundou	Moundou
moussoro	Moussoro
n'djamena	N'Djamena
ngama	Ngama
ngouri	Ngouri
nokou	Nokou
ounianga kebir	Ounianga Kébir
pala	Pala
salal	Salal
sarh	Sarh
umm hajar	Umm Hājar
yao	Yao
zouar	Zouar
