adeta	Adéta
afanyangan	Afanyangan
agou gadzepe	Agou Gadzépé
amlame	Amlamé
aneho	Aného
anie	Anié
atakpame	Atakpamé
badou	Badou
bafilo	Bafilo
bassar	Bassar
blitta	Blitta
danyi-apeyeme	Danyi-Apéyémé
dapaong	Dapaong
elavagnon	Elavagnon
guerin-kouka	Guérin-Kouka
kande	Kandé
kara	Kara
keve	Kévé
kouniohou	Kouniohou
kpalime	Kpalimé
lome	Lomé
mandouri	Mandouri
mango	Mango
niamtougou	Niamtougou
notse	Notsé
pagouda	Pagouda
sinkasse	Sinkassé
sokode	Sokodé
sotouboua	Sotouboua
tabligbo	Tabligbo
tandjouare	Tandjouaré
tchamba	Tchamba
tohoun	Tohoun
tsevie	Tsévié
vogan	Vogan
