20-solagii istiklolijati tocikiston	20-solagii Istiḳlolijati Toçikiston
abdurahmoni jomi	Abdurahmoni Jomí
adrasmon	Adrasmon
amondara	Amondara
avzikent	Avzikent
ayni	Ayní
bahori	Bahorí
baljuvon	Baljuvon
bokhtar	Bokhtar
bokhtariyon	Bokhtariyon
boshchorbogh	Boshchorbogh
boshkengash	Boshkengash
buston	Bŭston
buston	Buston
bustonqal’a	Bŭstonqal’a
chorbogh	Chorbogh
chubek	Chubek
dalyoni bolo	Dalyoni Bolo
danghara	Danghara
darband	Darband
dushanbe	Dushanbe
dusti	Dŭstí
farkhor	Farkhor
fayzobod	Fayzobod
ghafurov	Ghafurov
gharavuti	Gharavŭtí
ghonchi	Ghonchí
hisor	Hisor
hulbuk	Hulbuk
isfara	Isfara
ishqoshim	Ishqoshim
ismoili somoni	Ismoili Somoní
istaravshan	Istaravshan
istiqlol	Istiqlol
jilikul	Jilikŭl
karakenja	Karakenja
khodzha-maston	Khodzha-Maston
khorugh	Khorugh
khovaling	Khovaling
khujand	Khujand
kim	Kim
kirov	Kirov
kolkhozobod	Kolkhozobod
konibodom	Konibodom
konsoy	Konsoy
kulob	Kŭlob
levakant	Levakant
mehron	Mehron
moskovskiy	Moskovskiy
moskva	Moskva
muchun	Muchun
murghob	Murghob
mu’minobod	Mŭ’minobod
neftobod	Neftobod
nijoni	Nijoní
norak	Norak
nov	Nov
novobod	Novobod
obigarm	Obigarm
obikiik	Obikiik
oltintopkan	Oltintopkan
orzu	Orzu
pakhtakoron	Pakhtakoron
palos	Palos
panj	Panj
panjakent	Panjakent
panji poyon	Panji Poyon
proletar	Proletar
qalaikhumb	Qalaikhumb
qayroqqum	Qayroqqum
qubodiyon	Qubodiyon
quruqsoy	Quruqsoy
rasht	Rasht
roghun	Roghun
roshtqal’a	Roshtqal’a
rushon	Rŭshon
sarikhosor	Sarikhosor
shahrinav	Shahrinav
shahriston	Shahriston
shahritus	Shahritus
shaydon	Shaydon
shhriston	Shhriston
shurob	Shŭrob
shurobod	Shŭrobod
somoniyon	Somoniyon
sovet	Sovet
tagob	Tagob
tajikobod	Tajikobod
tartiki	Tartiki
tavildara	Tavildara
tursunzoda	Tursunzoda
vahdat	Vahdat
vakhsh	Vakhsh
vanj	Vanj
varzob	Varzob
vorukh	Vorukh
yovon	Yovon
zafarobod	Zafarobod
zarhalol	Zarhalol
zarxoq	Zarxoq
