abadan	Abadan
akdas	Akdaş
akdepe	Akdepe
akguzer	Akgüzer
alnys	Alnyş
altyn asyr	Altyn asyr
anew	Änew
arcabil	Arçabil
arcman	Arçman
arkadag	Arkadag
ashgabat	Ashgabat
asyr kakabayew	Aşyr Kakabaýew
babaarap	Babaarap
babadayhan	Babadaýhan
babadaykhan	Babadaykhan
bagtyyarlyk	Bagtyýarlyk
baherden	Bäherden
balkanabat	Balkanabat
bayramaly	Bayramaly
belek	Belek
bereket	Bereket
bereketli zaman	Bereketli zaman
berkarar	Berkarar
birata	Birata
bokurdak	Bokurdak
boldumsaz	Boldumsaz
bowga	Bowga
bukri	Bükri
burdalyk	Burdalyk
carjew	Çärjew
casgyn	Çaşgyn
dasoguz	Daşoguz
dostluk	Dostluk
dowletli	Döwletli
dusak	Duşak
ekerem	Ekerem
esenguly	Esenguly
etrek	Etrek
farap	Farap
galkynys	Galkynyş
gannaly	Gaňňaly
garabogaz	Garabogaz
garadepe	Garadepe
garakol	Garaköl
garassyzlyk	Garaşsyzlyk
gazojak	Gazojak
gokcage	Gökçäge
gokdepe	Gökdepe
gorogly	Görogly
gubadag	Gubadag
gumdag	Gumdag
guwlymayak	Guwlymaýak
gyzylarbat	Gyzylarbat
gyzylbayyr	Gyzylbaýyr
halac	Halaç
hazar	Hazar
hojambaz	Hojambaz
janahyr	Janahyr
jebel	Jebel
kaka	Kaka
karabekaul	Karabekaul
kerki	Kerki
kommunizm	Kommunizm
koneurgenc	Köneürgenç
koytendag	Köýtendag
lalezar	Lälezar
magdanly	Magdanly
magtymguly	Magtymguly
mary	Mary
mekan	Mekan
murgap	Murgap
nyyazow	Nyyazow
oglanly	Oglanly
oguzhan	Oguzhan
oyrat	Oýrat
parahat	Parahat
saparmurat turkmenbashy	Saparmurat Turkmenbashy
sarahs	Sarahs
sayat	Saýat
serhetabat	Serhetabat
seydi	Seydi
shatlyk	Shatlyk
takhta-bazar	Takhta-Bazar
tallymerjen	Tallymerjen
taze eyyam	Täze eýýam
tejen	Tejen
turkmenabat	Türkmenabat
turkmenbasy	Türkmenbaşy
turkmengala	Türkmengala
yagtyyol	Ýagtyýol
yangala	Ýaňgala
yaslyk	Ýaşlyk
yoloten	Yolöten
yylanly	Yylanly
yzgant	Yzgant
zynhary	Zynhary
