arusha	Arusha
babati	Babati
bagamoyo	Bagamoyo
bariadi	Bariadi
bashanet	Bashanet
basotu	Basotu
biharamulo	Biharamulo
boma la ngombe	Boma la Ngombe
bububu	Bububu
bugarama	Bugarama
bugene	Bugene
bukene	Bukene
bukoba	Bukoba
bukonyo	Bukonyo
bunda	Bunda
bungu	Bungu
buseresere	Buseresere
butiama	Butiama
chake chake	Chake Chake
chala	Chala
chalinze	Chalinze
chanika	Chanika
chato	Chato
chimala	Chimala
chiungutwa	Chiungutwa
dar es salaam	Dar es Salaam
dareda	Dareda
diobahika	Diobahika
dodoma	Dodoma
dongobesh	Dongobesh
dumila	Dumila
dunda	Dunda
endasak	Endasak
galappo	Galappo
gamba	Gamba
geiro	Geiro
geita	Geita
handeni	Handeni
hedaru	Hedaru
ifakara	Ifakara
igugunu	Igugunu
igunga	Igunga
igurubi	Igurubi
igurusi	Igurusi
ikungi	Ikungi
ikwiriri	Ikwiriri
ilembo	Ilembo
ilembula	Ilembula
ilongero	Ilongero
ilula	Ilula
inyonga	Inyonga
ipinda	Ipinda
iringa	Iringa
isaka	Isaka
issenye	Issenye
itigi	Itigi
itumba	Itumba
izazi	Izazi
kabanga	Kabanga
kahama	Kahama
kakonko	Kakonko
kaliua	Kaliua
kamachumu	Kamachumu
kandete	Kandete
karema	Karema
kasamwa	Kasamwa
kasulu	Kasulu
katerero	Katerero
katesh	Katesh
katoro	Katoro
katumba	Katumba
kibaha	Kibaha
kibaigwa	Kibaigwa
kibakwe	Kibakwe
kibara	Kibara
kibaya	Kibaya
kibiti	Kibiti
kibondo	Kibondo
kidatu	Kidatu
kidodi	Kidodi
kigoma	Kigoma
kigonsera	Kigonsera
kihangara	Kihangara
kihurio	Kihurio
kijini	Kijini
kilimatinde	Kilimatinde
kilindoni	Kilindoni
kilosa	Kilosa
kilwa masoko	Kilwa Masoko
kimamba	Kimamba
kingori	Kingori
kintinku	Kintinku
kiomboi	Kiomboi
kirando	Kirando
kiratu	Kiratu
kirya	Kirya
kisanga	Kisanga
kisarawe	Kisarawe
kisasa	Kisasa
kisesa	Kisesa
kishapu	Kishapu
kisiwani	Kisiwani
kitama	Kitama
kitangari	Kitangari
kiwengwa	Kiwengwa
kiwira	Kiwira
koani	Koani
koani ndogo	Koani Ndogo
konde	Konde
kondoa	Kondoa
kongwa	Kongwa
korogwe	Korogwe
kwakoa	Kwakoa
kyaka	Kyaka
kyela	Kyela
laela	Laela
lalago	Lalago
lembeni	Lembeni
lindi	Lindi
liuli	Liuli
liwale	Liwale
longido	Longido
lubata	Lubata
luchingu	Luchingu
lugoba	Lugoba
lukuledi	Lukuledi
lulindi	Lulindi
lupiro	Lupiro
lushoto	Lushoto
mabama	Mabama
mabamba	Mabamba
madimba	Madimba
madizini	Madizini
mafinga	Mafinga
magole	Magole
magomeni	Magomeni
magu	Magu
magugu	Magugu
mahanje	Mahanje
mahenge	Mahenge
mahonda	Mahonda
mahuta	Mahuta
majengo	Majengo
makanya	Makanya
makongolosi	Makongolosi
makumbako	Makumbako
makungu	Makungu
makuyuni	Makuyuni
malampaka	Malampaka
malangali	Malangali
malinyi	Malinyi
malya	Malya
manda	Manda
maneromango	Maneromango
manyoni	Manyoni
mapinga	Mapinga
maposeni	Maposeni
maramba	Maramba
masasi	Masasi
masoko	Masoko
masuguru	Masuguru
masumbwe	Masumbwe
maswa	Maswa
matai	Matai
matamba	Matamba
matiri	Matiri
matonga	Matonga
matongo	Matongo
matui	Matui
matundasi	Matundasi
mazinde	Mazinde
mbamba bay	Mbamba Bay
mbekenyera	Mbekenyera
mbeya	Mbeya
mbinga	Mbinga
mbuguni	Mbuguni
mbulu	Mbulu
mbumi	Mbumi
merelani	Merelani
mgandu	Mgandu
mhalamba	Mhalamba
mhango	Mhango
micheweni	Micheweni
mikumi	Mikumi
mingoyo	Mingoyo
misasi	Misasi
misungwi	Misungwi
mkoani	Mkoani
mkokotoni	Mkokotoni
mkuranga	Mkuranga
mlalo	Mlalo
mlandizi	Mlandizi
mlangali	Mlangali
mlimba	Mlimba
mlowo	Mlowo
monduli	Monduli
morogoro	Morogoro
moshi	Moshi
mpanda	Mpanda
mpwapwa	Mpwapwa
msanga	Msanga
msowero	Msowero
mtama	Mtama
mtambile	Mtambile
mtimbira	Mtimbira
mtinko	Mtinko
mto wa mbu	Mto wa Mbu
mtwango	Mtwango
mtwara	Mtwara
mugango	Mugango
mugumu	Mugumu
muheza	Muheza
muleba	Muleba
mungaa	Mungaa
muriti	Muriti
musoma	Musoma
mvomero	Mvomero
mwadui	Mwadui
mwandege	Mwandege
mwandiga	Mwandiga
mwanga	Mwanga
mwanhuzi	Mwanhuzi
mwanza	Mwanza
mwaya	Mwaya
mwembe	Mwembe
naberera	Naberera
nachingwea	Nachingwea
nakatunguru	Nakatunguru
namalenga	Namalenga
namanga	Namanga
namanyere	Namanyere
namikupa	Namikupa
nanganga	Nanganga
nangomba	Nangomba
nangwa	Nangwa
nanhyanga	Nanhyanga
nansio	Nansio
nanyamba	Nanyamba
ndago	Ndago
ndungu	Ndungu
newala	Newala
newala kisimani	Newala Kisimani
nganane	Nganane
ngara	Ngara
ngerengere	Ngerengere
ngorongoro	Ngorongoro
ngudu	Ngudu
nguruka	Nguruka
njombe	Njombe
nkoaranga	Nkoaranga
nkove	Nkove
nshamba	Nshamba
nsunga	Nsunga
nungwi	Nungwi
nyakabindi	Nyakabindi
nyakahanga	Nyakahanga
nyalikungu	Nyalikungu
nyamuswa	Nyamuswa
nyangao	Nyangao
nyanguge	Nyanguge
nzega	Nzega
old shinyanga	Old Shinyanga
pangani	Pangani
poli	Poli
puma	Puma
ruaha	Ruaha
ruangwa	Ruangwa
rujewa	Rujewa
rulenge	Rulenge
same	Same
sengerema	Sengerema
sepuka	Sepuka
shanwa	Shanwa
shelui	Shelui
shinyanga	Shinyanga
shirati	Shirati
sikonge	Sikonge
singida	Singida
sirari	Sirari
sokoni	Sokoni
somanda	Somanda
songea	Songea
songwa	Songwa
soni	Soni
sumbawanga	Sumbawanga
tabora	Tabora
tandahimba	Tandahimba
tanga	Tanga
tarakea	Tarakea
tarime	Tarime
tinde	Tinde
tingi	Tingi
tukuyu	Tukuyu
tumbi	Tumbi
tunduma	Tunduma
tunduru	Tunduru
ulenje	Ulenje
urambo	Urambo
urunda	Urunda
usa river	Usa River
usagara	Usagara
usangi	Usangi
usevia	Usevia
ushirombo	Ushirombo
usoke	Usoke
utengule	Utengule
utete	Utete
uvinza	Uvinza
uwelini	Uwelini
uyovu	Uyovu
vikindu	Vikindu
vwawa	Vwawa
wete	Wete
zanzibar	Zanzibar
