abim	Abim
adjumani	Adjumani
agago	Agago
alebtong	Alebtong
amolatar	Amolatar
amudat	Amudat
amuria	Amuria
amuru	Amuru
anaka	Anaka
apac	Apac
arua	Arua
binyiny	Binyiny
bombo	Bombo
budadiri	Budadiri
budaka	Budaka
bududa	Bududa
bugembe	Bugembe
bugiri	Bugiri
buhesi	Buhesi
buhimba	Buhimba
buhweju	Buhweju
buikwe	Buikwe
bukedea	Bukedea
bukomansimbi	Bukomansimbi
bukomero	Bukomero
bukuya	Bukuya
bukwa	Bukwa
bulambuli	Bulambuli
buliisa	Buliisa
bunamwaya	Bunamwaya
bundibugyo	Bundibugyo
busembatia	Busembatia
busesa	Busesa
bushenyi	Bushenyi
busia	Busia
busolwe	Busolwe
butaleja	Butaleja
butebo	Butebo
butemba	Butemba
butunduzi	Butunduzi
buwenge	Buwenge
buyale	Buyale
buyende	Buyende
bweyogerere	Bweyogerere
bwizibwera	Bwizibwera
byakabanda	Byakabanda
dokolo	Dokolo
entebbe	Entebbe
fort portal	Fort Portal
gombe	Gombe
gulu	Gulu
hima	Hima
hoima	Hoima
ibanda	Ibanda
iganga	Iganga
iryango	Iryango
ishaka	Ishaka
isingiro	Isingiro
jinja	Jinja
kaabong	Kaabong
kabale	Kabale
kaberamaido	Kaberamaido
kagadi	Kagadi
kajansi	Kajansi
kakira	Kakira
kakiri	Kakiri
kakumiro	Kakumiro
kalangala	Kalangala
kaliro	Kaliro
kalisizo	Kalisizo
kalungu	Kalungu
kampala	Kampala
kampala central division	Kampala Central Division
kamuli	Kamuli
kamwenge	Kamwenge
kanoni	Kanoni
kanungu	Kanungu
kapchorwa	Kapchorwa
kasaali	Kasaali
kasambya	Kasambya
kasanda	Kasanda
kasangati	Kasangati
kasanje	Kasanje
kasese	Kasese
kasozi	Kasozi
katabi	Katabi
katakwi	Katakwi
katoke	Katoke
kayunga	Kayunga
kazo	Kazo
kebisoni	Kebisoni
kibale	Kibale
kibiito	Kibiito
kibingo	Kibingo
kiboga	Kiboga
kibuku	Kibuku
kigorobya	Kigorobya
kigumba	Kigumba
kihihi	Kihihi
kikube	Kikube
kilembe	Kilembe
kinoni	Kinoni
kira	Kira
kireka	Kireka
kiruhura	Kiruhura
kiryandongo	Kiryandongo
kiryandongo refugee camp	Kiryandongo Refugee Camp
kisinga	Kisinga
kisoro	Kisoro
kitamilo	Kitamilo
kitgum	Kitgum
kiziba	Kiziba
koboko	Koboko
kole	Kole
kotido	Kotido
kumi	Kumi
kyaka ii refugee camp	Kyaka II Refugee Camp
kyamahungu	Kyamahungu
kyangwali refugee camp	Kyangwali Refugee Camp
kyankwanzi	Kyankwanzi
kyarusozi	Kyarusozi
kyazanga	Kyazanga
kyegegwa	Kyegegwa
kyengera	Kyengera
kyenjojo	Kyenjojo
kyotera	Kyotera
lamwo	Lamwo
lira	Lira
lugazi	Lugazi
lukaya	Lukaya
luuka town	Luuka Town
luwero	Luwero
lwakyomba	Lwakyomba
lwengo	Lwengo
lyantonde	Lyantonde
mabare	Mabare
magamaga	Magamaga
malaba	Malaba
manafwa	Manafwa
maracha	Maracha
masaka	Masaka
masindi	Masindi
masindi port	Masindi Port
mayuge	Mayuge
mbale	Mbale
mbarara	Mbarara
mitoma	Mitoma
mityana	Mityana
moroto	Moroto
moyo	Moyo
mpigi	Mpigi
mpondwe	Mpondwe
mubende	Mubende
muhororo	Muhororo
muhorro	Muhorro
mukono	Mukono
nagongera	Nagongera
nakaloke	Nakaloke
nakapiripirit	Nakapiripirit
nakaseke	Nakaseke
nakasongola	Nakasongola
nakivale refugee camp	Nakivale Refugee Camp
namasuba	Namasuba
namavundu	Namavundu
namayingo	Namayingo
namayumba	Namayumba
namutumba	Namutumba
nansana	Nansana
napak	Napak
nebbi	Nebbi
ngora	Ngora
njeru	Njeru
nkoma	Nkoma
nsika	Nsika
ntoroko	Ntoroko
ntungamo	Ntungamo
nwoya	Nwoya
nyachera	Nyachera
nyahuka	Nyahuka
nyamunuka	Nyamunuka
opit	Opit
otuke	Otuke
oyam	Oyam
pader	Pader
pader palwo	Pader Palwo
paidha	Paidha
pakwach	Pakwach
pallisa	Pallisa
rakai	Rakai
rubaare	Rubaare
rubanda	Rubanda
rubirizi	Rubirizi
rukungiri	Rukungiri
rutoma	Rutoma
rwamwanja refugee camp	Rwamwanja Refugee Camp
rwiimi	Rwiimi
sembabule	Sembabule
serere	Serere
sironko	Sironko
soroti	Soroti
tororo	Tororo
wakiso	Wakiso
wanseko	Wanseko
wobulenzi	Wobulenzi
yumbe	Yumbe
zombo	Zombo
