a luoi	A Lưới
a ngo	A Ngo
a roang hai	A Roàng Hai
a rooi	A Rooi
a tieng	A Tiêng
a ting	A Ting
a vuong	A Vương
a xan	A Xan
a yun pa	A Yun Pa
ai tu	Ái Tử
an ba	An Bá
an bien	An Biên
an chau	An Châu
an duong	An Dương
an ha	An Hà
an hai	An Hải
an hoa	An Hòa
an khe	An Khê
an lao	An Lão
an nhon	An Nhơn
an phu	An Phú
an thi	Ân Thi
an thoi	An Thới
an trach	An Trạch
anh son	Anh Son
ap binh chanh	Ấp Bình Chánh
ap binh chau	Ấp Bình Châu
ap ho phong	Ấp Hô Phòng
ap hoa thanh	Ấp Hòa Thanh
ap long thanh	Ấp Long Thạnh
ap long tho	Ấp Long Thọ
ap mot	Ấp Một
ap phu hoa	Ấp Phú Hòa
ap phuoc tinh	Ấp Phước Tĩnh
ap tan my	Ấp Tân Mỹ
ap tan ngai	Ấp Tân Ngãi
ap xuan son	Ấp Xuân Sơn
ba	Ba
ba chuc	Ba Chúc
ba dinh	Ba Dinh
ba don	Ba Đồn
ba na	Bà Nà
ba to	Ba Tơ
ba tri	Ba Tri
ba vi	Ba Vì
bac ai	Bác Ái
bac giang	Bắc Giang
bac ha	Bắc Hà
bac kan	Bắc Kạn
bac lieu	Bạc Liêu
bac lung	Bắc Lũng
bac ninh	Bắc Ninh
bac quang	Bắc Quang
bac son	Bắc Sơn
bac tu liem	Bắc Từ Liêm
bac yen	Bắc Yên
bach mai	Bạch Mai
ban na hy	Bản Na Hỷ
ban yen nhan	Bẩn Yên Nhân
bang lung	Bằng Lũng
bao loc	Bảo Lộc
bat xat	Bát Xát
ben cat	Bến Cát
ben cau	Bến Cầu
ben sung	Bến Sung
ben thuy	Bến Thủy
ben tre	Bến Tre
bha le	Bha Lê
bich chu	Bích Chu
bich dong	Bích Động
bien hoa	Biên Hòa
bim son	Bỉm Sơn
binh dai	Bình Đại
binh gia	Bình Gia
binh long	Bình Long
binh minh	Bình Minh
binh my	Bình Mỹ
binh son	Bình Sơn
binh thanh	Bình Thạnh
binh thuy	Bình Thủy
bo	Bo
bo de	Bồ Đề
boc bo	Bộc Bố
bong son	Bồng Sơn
bu dop	Bù Đốp
bui xa	Bùi Xá
buon ho	Buôn Hồ
buon ma thuot	Buôn Ma Thuột
buon trap	Buôn Trấp
buon tur	Buôn Tur
but son	Bút Sơn
ca mau	Cà Mau
cai dau	Cái Dầu
cai doi vam	Cái Đôi Vàm
cai lay	Cai Lậy
cai nhum	Cái Nhum
cai nuoc	Cái Nước
cai rang	Cái Răng
cai tau ha	Cái Tàu Hạ
cam lam	Cam Lâm
cam le	Cẩm Lệ
cam lo	Cam Lộ
cam pha	Cẩm Phả
cam pha mines	Cẩm Phả Mines
cam ranh	Cam Ranh
cam thuy	Cẩm Thủy
cam xuyen	Cẩm Xuyên
can duoc	Cần Đước
can gio	Cần Giờ
can giuoc	Cần Giuộc
can tho	Cần Thơ
canh nang	Cành Nàng
cao bang	Cao Bằng
cao ky	Cao Ký
cao lanh	Cao Lãnh
