afega	Afega
apia	Apia
asau	Asau
falefa	Falefa
faleula	Faleula
fasito‘outa	Fasito‘outa
gataivai	Gataivai
lauli’i	Lauli’i
leulumoega	Leulumoega
lotofaga	Lotofagā
lufilufi	Lufilufi
malie	Malie
matavai	Matavai
moata‘a	Moata‘a
mulifanua	Mulifanua
nofoali‘i	Nofoali‘i
palauli	Palauli
safotu	Safotu
safotulafai	Safotulafai
sale’imoa	Sale’imoa
samamea	Samamea
sapulu	Sapulu
satapuala	Satapuala
satupa‘itea	Satupa‘itea
siusega	Siusega
si’umu	Si’umu
solosolo	Solosolo
tuana‘i	Tuana‘i
vailoa	Vailoa
vaimoso	Vaimoso
vaitele	Vaitele
vaiusu	Vaiusu
