acoua	Acoua
bandraboua	Bandraboua
bandrele	Bandrele
barakani	Barakani
boueni	Bouéni
bouyouni	Bouyouni
chembenyoumba	Chembényoumba
chiconi	Chiconi
chirongui	Chirongui
combani	Combani
dembeni	Dembeni
dzaoudzi	Dzaoudzi
dzumogne	Dzumogne
hajangoua	Hajangoua
hamjago	Hamjago
hamouro	Hamouro
handrema	Handréma
iloni	Iloni
kahani	Kahani
kangani	Kangani
kani-keli	Kani-Kéli
kaoueni	Kaouéni
kavani	Kavani
koungou	Koungou
labattoir	Labattoir
longoni	Longoni
m'tsangamouji	M'Tsangamouji
majikavo koropa	Majikavo Koropa
majikavo lamir	Majikavo Lamir
mamoudzou	Mamoudzou
mangajou	Mangajou
mirereni	Miréréni
mouanatrindri	Mouanatrindri
mramadoudou	Mramadoudou
mtsahara	Mtsahara
mtsamboro	Mtsamboro
mtsamoudou	Mtsamoudou
mtsangadoua	Mtsangadoua
mtsangamboua	Mtsangamboua
mtsapere	Mtsapéré
mzouazia	Mzouazia
nyambadao	Nyambadao
ongojou	Ongojou
ouangani	Ouangani
pamandzi	Pamandzi
passamainty	Passamainty
poroani	Poroani
sada	Sada
sohoa	Sohoa
trevani	Trévani
tsararano	Tsararano
tsimkoura	Tsimkoura
tsingoni	Tsingoni
tsoundzou 1	Tsoundzou 1
tsoundzou 2	Tsoundzou 2
vahibe	Vahibé
