abbotsdale	Abbotsdale
aberdeen	Aberdeen
acornhoek	Acornhoek
addo	Addo
adelaide	Adelaide
albert falls	Albert Falls
albertina	Albertina
alberton	Alberton
alexander bay	Alexander Bay
alexandra	Alexandra
alexandria	Alexandria
alice	Alice
alicedale	Alicedale
aliwal north	Aliwal North
allandale a	Allandale A
allanridge	Allanridge
alldays	Alldays
allemansdrif	Allemansdrif
amalia	Amalia
amandelbult	Amandelbult
amersfoort	Amersfoort
apel	Apel
arlington	Arlington
arniston	Arniston
arthur’s seat	Arthur’s Seat
ashburton	Ashburton
ashton	Ashton
athlone	Athlone
atlantis	Atlantis
augrabies	Augrabies
babanango	Babanango
babirwa	Babirwa
bagale	Bagale
balfour	Balfour
ballitoville	Ballitoville
barberton	Barberton
barkly east	Barkly East
barkly west	Barkly West
barrydale	Barrydale
bathurst	Bathurst
beaufort west	Beaufort West
bedford	Bedford
bela bela	Bela Bela
bela-bela	Bela-Bela
belfast	Belfast
benoni	Benoni
berea	Berea
bergnek	Bergnek
bergville	Bergville
bergvliet	Bergvliet
bertha shaft village	Bertha Shaft Village
bethal	Bethal
bethlehem	Bethlehem
bethulie	Bethulie
betty's goed	Betty's Goed
betty’s bay	Betty’s Bay
bhisho	Bhisho
bizana	Bizana
blinkpan	Blinkpan
bloemfontein	Bloemfontein
bloemhof	Bloemhof
bochum	Bochum
boipelo	Boipelo
boksburg	Boksburg
bolla-tau	Bolla-Tau
bonnievale	Bonnievale
bontrug	Bontrug
bosbokrand	Bosbokrand
bosfontein	Bosfontein
boshof	Boshof
bosoord	Bosoord
bothaville	Bothaville
botha’s hill	Botha’s Hill
botrivier	Botrivier
botshabelo	Botshabelo
brakpan	Brakpan
brandvlei	Brandvlei
brandwag	Brandwag
bray	Bray
bredasdorp	Bredasdorp
breyten	Breyten
brits	Brits
bronkhorstspruit	Bronkhorstspruit
buffeljagsrivier	Buffeljagsrivier
bultfontein	Bultfontein
bulwer	Bulwer
burgersdorp	Burgersdorp
burgersfort	Burgersfort
burlington	Burlington
butterworth	Butterworth
buyisonto	Buyisonto
cacadu	Cacadu
cala	Cala
calcutta	Calcutta
caledon	Caledon
calitzdorp	Calitzdorp
calvinia	Calvinia
camperdown	Camperdown
cape town	Cape Town
carletonville	Carletonville
carnarvon	Carnarvon
carolina	Carolina
carousel view	Carousel View
cathcart	Cathcart
cato ridge	Cato Ridge
cedarville	Cedarville
centane	Centane
centurion	Centurion
century city	Century City
ceres	Ceres
charlestown	Charlestown
chatsworth	Chatsworth
chrissiesmeer	Chrissiesmeer
christiana	Christiana
cibelichle	Cibelichle
cillie	Cillie
cintsa mouth west	Cintsa Mouth West
citrusdal	Citrusdal
clanwilliam	Clanwilliam
clare a	Clare A
claremont	Claremont
clarendon marine	Clarendon Marine
clarens	Clarens
clarkson	Clarkson
clydesdale	Clydesdale
cofimvaba	Cofimvaba
colchester	Colchester
coldstream	Coldstream
colenso	Colenso
colesberg	Colesberg
coligny	Coligny
constantia	Constantia
cookhouse	Cookhouse
cool air	Cool Air
cornelia	Cornelia
coronation	Coronation
cradock	Cradock
craigieburn	Craigieburn
creighton	Creighton
croquet lawn a	Croquet Lawn A
cullinan	Cullinan
daggakraal	Daggakraal
dalton	Dalton
danielskuil	Daniëlskuil
dannhauser	Dannhauser
darling	Darling
darnall	Darnall
davel	Davel
de aar	De Aar
de doorns	De Doorns
de rust	De Rust
dealesville	Dealesville
delareyville	Delareyville
delmas	Delmas
dendron	Dendron
deneysville	Deneysville
derby	Derby
devon	Devon
dewetsdorp	Dewetsdorp
diepsloot	Diepsloot
dimbaza	Dimbaza
dingleydale a	Dingleydale A
dingleydale b	Dingleydale B
dirkiesdorp	Dirkiesdorp
doornkop	Doornkop
dordrecht	Dordrecht
doringbaai	Doringbaai
douglas	Douglas
driefontein	Driefontein
driekoppies	Driekoppies
drummond	Drummond
ducats	Ducats
duiwelskloof	Duiwelskloof
dullstroom	Dullstroom
dumfries a	Dumfries A
dumfries b	Dumfries B
dundee	Dundee
dundonald	Dundonald
durban	Durban
durbanville	Durbanville
dutywa	Dutywa
dwarsloop	Dwarsloop
dysselsdorp	Dysselsdorp
east london	East London
eastleigh	Eastleigh
ebenhaeser	Ebenhaeser
eden glen	Eden Glen
eden glen ext 60	Eden Glen Ext 60
edenburg	Edenburg
edenvale	Edenvale
edenville	Edenville
edinburgh a	Edinburgh A
edinburgh b	Edinburgh B
eendekuil	Eendekuil
eglington a	Eglington A
eglington b	Eglington B
ekangala	Ekangala
ekhephini	Ekhephini
ekulindeni	Ekulindeni
ekuvukeni	Ekuvukeni
elandsbaai	Elandsbaai
elandshoek	Elandshoek
elandskraal	Elandskraal
elim	Elim
elliotdale	Elliotdale
eloff	Eloff
elsburg gold mine	Elsburg Gold Mine
emakhazeni b	eMakhazeni B
emalahleni	Emalahleni
emanzana	eManzana
emanzimtoti	eManzimtoti
emaqeleni	Emaqeleni
embalenhle	eMbalenhle
embangweni	eMbangweni
embhojeni	Embhojeni
emdloti	eMdloti
emgwenya	Emgwenya
emkhomazi	eMkhomazi
emkhuze	eMkhuze
emona	Emona
empangeni	Empangeni
empuluzu	Empuluzu
emtfuntini	Emtfuntini
emuziwezinto	eMuziwezinto
emvelo	eMvelo
enduli	eNduli
enon	Enon
ermelo	Ermelo
eshowe	Eshowe
esikhaleni	eSikhaleni
estcourt	Estcourt
etwatwa	Etwatwa
evander	Evander
evaton	Evaton
excelsior	Excelsior
ezibomvu	Ezibomvu
fauresmith	Fauresmith
fayini	Fayini
felixton	Felixton
fernie	Fernie
ficksburg	Ficksburg
fisantekraal	Fisantekraal
flagstaff	Flagstaff
fochville	Fochville
folweni	Folweni
fort beaufort	Fort Beaufort
fouriesburg	Fouriesburg
frankfort	Frankfort
franklin	Franklin
franschhoek	Franschhoek
fraserburg	Fraserburg
friemersheim	Friemersheim
frischgewaagd	Frischgewaagd
ga-boelang	Ga-Boelang
ga-josepha	Ga-Josepha
ga-kgapane	Ga-Kgapane
ga-malakhe	Ga-Malakhe
ga-maotole	Ga-Maotole
ga-rankuwa	Ga-Rankuwa
gannaput	Gannaput
gansbaai	Gansbaai
ganyesa	Ganyesa
gariep dam	Gariep Dam
garies	Garies
gasekhaolelo	GaSekhaolelo
