chadiza	Chadiza
chalimbana	Chalimbana
chama	Chama
chambishi	Chambishi
chavuma	Chavuma
chibombo	Chibombo
chiengi	Chiengi
chilanga township	Chilanga Township
chililabombwe	Chililabombwe
chilongolo	Chilongolo
chilubi	Chilubi
chingola	Chingola
chinkuli	Chinkuli
chinsali	Chinsali
chipata	Chipata
chirundu	Chirundu
chisankane	Chisankane
chisasa	Chisasa
choma	Choma
chongwe	Chongwe
chunga	Chunga
gwembe	Gwembe
ibenga	Ibenga
isoka	Isoka
itezhi-tezhi	Itezhi-Tezhi
kabompo	Kabompo
kabwe	Kabwe
kafue	Kafue
kalabo	Kalabo
kalengwa	Kalengwa
kalomo	Kalomo
kalulushi	Kalulushi
kansanshi	Kansanshi
kaoma	Kaoma
kapiri mposhi	Kapiri Mposhi
kaputa	Kaputa
kasama	Kasama
kasempa	Kasempa
kataba	Kataba
katete	Katete
kawambwa	Kawambwa
kazungula	Kazungula
kitwe	Kitwe
limulunga	Limulunga
livingstone	Livingstone
luangwa	Luangwa
luanshya	Luanshya
lubombo	Lubombo
lubwe	Lubwe
lukulu	Lukulu
lundazi	Lundazi
lusaka	Lusaka
lusaka west	Lusaka West
luwingu	Luwingu
maamba	Maamba
madido	Madido
mansa	Mansa
manyama	Manyama
manyinga	Manyinga
mapalo	Mapalo
mazabuka	Mazabuka
mbala	Mbala
mkushi	Mkushi
mongu	Mongu
monze	Monze
mpika	Mpika
mpongwe	Mpongwe
mporokoso	Mporokoso
mpulungu	Mpulungu
mufulira	Mufulira
mufumbwe	Mufumbwe
mumbwa	Mumbwa
mungwi	Mungwi
mununga	Mununga
mwansabombwe	Mwansabombwe
mwense	Mwense
mwinilunga	Mwinilunga
nakambala	Nakambala
nakonde	Nakonde
namalombwe	Namalombwe
nampundwe	Nampundwe
namwala	Namwala
nchelenge	Nchelenge
ndola	Ndola
ntandabale	Ntandabale
nyimba	Nyimba
palabana	Palabana
petauke	Petauke
samfya	Samfya
senanga	Senanga
serenje	Serenje
sesheke	Sesheke
siavonga	Siavonga
sinazongwe	Sinazongwe
sinda	Sinda
solwezi	Solwezi
zambezi	Zambezi
